CAMIS,BORO,BUILDING,STREET,ZIPCODE,PHONE,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40361322,QUEENS,265-15    ,HILLSIDE AVENUE                                   ,11004,7183430392,09/20/2012,06A,Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Initial Inspection
40361322,QUEENS,265-15    ,HILLSIDE AVENUE                                   ,11004,7183430392,09/20/2012,06D,Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Initial Inspection
40361322,QUEENS,265-15    ,HILLSIDE AVENUE                                   ,11004,7183430392,09/20/2012,10F,Not Critical,13,A,09/20/2012,10/26/2014,Cycle Inspection / Initial Inspection
40361618,QUEENS,129-08,20 AVENUE,11356,7186619498,09/20/2012,02B,Critical,7,A,09/20/2012,10/26/2014,Cycle Inspection / Initial Inspection
40362344,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,09/25/2012,04N,Critical,14,,,10/26/2014,Cycle Inspection / Initial Inspection
40362344,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,09/25/2012,06D,Critical,14,,,10/26/2014,Cycle Inspection / Initial Inspection
40362344,BROOKLYN,531,MYRTLE AVENUE,11205,7188578132,09/25/2012,10F,Not Critical,14,,,10/26/2014,Cycle Inspection / Initial Inspection
40362715,MANHATTAN,60,WALL STREET,10005,3474279132,09/21/2012,04L,Critical,9,A,09/21/2012,10/26/2014,Cycle Inspection / Initial Inspection
40362715,MANHATTAN,60,WALL STREET,10005,3474279132,09/21/2012,08A,Not Critical,9,A,09/21/2012,10/26/2014,Cycle Inspection / Initial Inspection
40362869,BROOKLYN,195,EAST   56 STREET,11203,3474300871,09/22/2012,04N,Critical,11,A,09/22/2012,10/26/2014,Cycle Inspection / Re-inspection
40362869,BROOKLYN,195,EAST   56 STREET,11203,3474300871,09/22/2012,08A,Not Critical,11,A,09/22/2012,10/26/2014,Cycle Inspection / Re-inspection
40362869,BROOKLYN,195,EAST   56 STREET,11203,3474300871,09/22/2012,10A,Not Critical,11,A,09/22/2012,10/26/2014,Cycle Inspection / Re-inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/24/2012,06D,Critical,8,A,09/24/2012,10/26/2014,Cycle Inspection / Re-inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/24/2012,10F,Not Critical,8,A,09/24/2012,10/26/2014,Cycle Inspection / Re-inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/24/2012,16B,Not Critical,,,,10/26/2014,Trans Fat / Re-inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/24/2012,,Not Applicable,,,,10/26/2014,Administrative Miscellaneous / Re-inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/13/2012,02B,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40364304,MANHATTAN,94,FULTON STREET                                                                                       ,10038,2125666666,09/13/2012,02G,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40364335,BROOKLYN,178,BROADWAY,11211,7183877400,09/10/2012,04N,Critical,12,A,09/10/2012,10/26/2014,Cycle Inspection / Re-inspection
40364335,BROOKLYN,178,BROADWAY,11211,7183877400,09/10/2012,08A,Not Critical,12,A,09/10/2012,10/26/2014,Cycle Inspection / Re-inspection
40364347,MANHATTAN,1,EAST   60 STREET                                                                                    ,10022,2128387400,09/27/2012,02G,Critical,9,,,10/26/2014,Cycle Inspection / Initial Inspection
40364347,MANHATTAN,1,EAST   60 STREET                                                                                    ,10022,2128387400,09/27/2012,10F,Not Critical,9,,,10/26/2014,Cycle Inspection / Initial Inspection
40364529,QUEENS,96-40,QUEENS BOULEVARD,11374,7188971700,09/11/2012,02G,Critical,24,B,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40364529,QUEENS,96-40,QUEENS BOULEVARD,11374,7188971700,09/11/2012,04H,Critical,24,B,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40364529,QUEENS,96-40,QUEENS BOULEVARD,11374,7188971700,09/11/2012,04L,Critical,24,B,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40364529,QUEENS,96-40,QUEENS BOULEVARD,11374,7188971700,09/11/2012,08A,Not Critical,24,B,09/11/2012,10/26/2014,Cycle Inspection / Re-inspection
40364572,MANHATTAN,845,LEXINGTON AVENUE                                  ,10065,2127440938,09/26/2012,02G,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40364572,MANHATTAN,845,LEXINGTON AVENUE                                  ,10065,2127440938,09/26/2012,02H,Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40364572,MANHATTAN,845,LEXINGTON AVENUE                                  ,10065,2127440938,09/26/2012,10F,Not Critical,17,,,10/26/2014,Cycle Inspection / Initial Inspection
40364581,BROOKLYN,386,FLATBUSH AVENUE EXTENSION                                                                           ,11201,7188525257,09/04/2012,10B,Not Critical,7,A,09/04/2012,10/26/2014,Cycle Inspection / Re-inspection
40364581,BROOKLYN,386,FLATBUSH AVENUE EXTENSION                                                                           ,11201,7188525257,09/04/2012,10F,Not Critical,7,A,09/04/2012,10/26/2014,Cycle Inspection / Re-inspection
40364691,MANHATTAN,0,ALLEN TRIPO                                                                                         ,10075,2127341468,09/20/2012,04C,Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40364691,MANHATTAN,0,ALLEN TRIPO                                                                                         ,10075,2127341468,09/20/2012,04L,Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40364691,MANHATTAN,0,ALLEN TRIPO                                                                                         ,10075,2127341468,09/20/2012,08A,Not Critical,18,,,10/26/2014,Cycle Inspection / Initial Inspection
40364715,MANHATTAN,56,9 AVENUE,10011,2122429040,09/26/2012,02G,Critical,24,B,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40364715,MANHATTAN,56,9 AVENUE,10011,2122429040,09/26/2012,04J,Critical,24,B,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40364715,MANHATTAN,56,9 AVENUE,10011,2122429040,09/26/2012,06C,Critical,24,B,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40364715,MANHATTAN,56,9 AVENUE,10011,2122429040,09/12/2012,04J,Critical,13,,,10/26/2014,Cycle Inspection / Initial Inspection
40364715,MANHATTAN,56,9 AVENUE,10011,2122429040,09/12/2012,06A,Critical,13,,,10/26/2014,Cycle Inspection / Initial Inspection
40364858,QUEENS,600,WEST DRIVE                                        ,11363,7182293900,09/15/2012,02B,Critical,26,,,10/26/2014,Cycle Inspection / Initial Inspection
40364858,QUEENS,600,WEST DRIVE                                        ,11363,7182293900,09/15/2012,04H,Critical,26,,,10/26/2014,Cycle Inspection / Initial Inspection
40364858,QUEENS,600,WEST DRIVE                                        ,11363,7182293900,09/15/2012,06C,Critical,26,,,10/26/2014,Cycle Inspection / Initial Inspection
40364858,QUEENS,600,WEST DRIVE                                        ,11363,7182293900,09/15/2012,10B,Not Critical,26,,,10/26/2014,Cycle Inspection / Initial Inspection
40364858,QUEENS,600,WEST DRIVE                                        ,11363,7182293900,09/15/2012,10H,Not Critical,26,,,10/26/2014,Cycle Inspection / Initial Inspection
40364956,BRONX,2222,HAVILAND AVENUE                                                                                     ,10462,7188229004,09/20/2012,04H,Critical,9,A,09/20/2012,10/26/2014,Cycle Inspection / Re-inspection
40364956,BRONX,2222,HAVILAND AVENUE                                                                                     ,10462,7188229004,09/20/2012,10F,Not Critical,9,A,09/20/2012,10/26/2014,Cycle Inspection / Re-inspection
40365293,MANHATTAN,146,MULBERRY STREET                                                                                     ,10013,2129661277,09/26/2012,10B,Not Critical,9,A,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40365293,MANHATTAN,146,MULBERRY STREET                                                                                     ,10013,2129661277,09/26/2012,10F,Not Critical,9,A,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
40365293,MANHATTAN,146,MULBERRY STREET                                                                                     ,10013,2129661277,09/26/2012,10J,Not Critical,9,A,09/26/2012,10/26/2014,Cycle Inspection / Re-inspection
